site_names,measure_name,time,measure_value:varchar,measure_value:double,measure_value:bigint
Te,site_name,2010-09-13 22:46:00.000000,Te,,
Te,site_name,2010-09-13 22:51:00.000000,Te,,
Te,site_name,2024-11-22 17:22:00.000000,Te,,
Te,site_name,2024-11-22 17:29:00.000000,Te,,
Te,site_name,2024-11-22 17:36:00.000000,Te,,
Te,site_name,2024-11-22 17:43:00.000000,Te,,
Te,site_name,2024-11-22 17:50:00.000000,Te,,
Te,site_name,2024-11-22 17:57:00.000000,Te,,
Te,site_name,2024-11-22 18:04:00.000000,Te,,
Te,site_name,2024-11-22 18:11:00.000000,Te,,
Te,site_name,2024-11-22 18:18:00.000000,Te,,
Te,site_name,2024-11-22 18:25:00.000000,Te,,
Te,site_name,2024-11-22 18:32:00.000000,Te,,
Te,site_name,2024-11-22 18:39:00.000000,Te,,
Te,site_name,2024-11-22 18:46:00.000000,Te,,
Te,site_name,2024-11-22 18:53:00.000000,Te,,
Te,site_name,2024-11-22 19:00:00.000000,Te,,
Te,site_name,2024-11-22 19:07:00.000000,Te,,
Te,site_name,2024-11-22 19:14:00.000000,Te,,
Te,site_name,2024-11-22 19:21:00.000000,Te,,
Te,site_name,2024-11-22 19:28:00.000000,Te,,
Te,site_name,2024-11-22 19:35:00.000000,Te,,
Te,site_name,2024-11-22 19:42:00.000000,Te,,
Te,site_name,2024-11-22 19:49:00.000000,Te,,
Te,site_name,2024-11-22 19:56:00.000000,Te,,
Te,site_name,2024-11-22 20:03:00.000000,Te,,
Te,site_name,2024-11-22 20:10:00.000000,Te,,
Te,site_name,2024-11-22 20:17:00.000000,Te,,
Te,site_name,2024-11-22 20:24:00.000000,Te,,
Te,site_name,2024-11-22 20:31:00.000000,Te,,
Te,site_name,2024-11-22 20:38:00.000000,Te,,
Te,site_name,2024-11-22 20:45:00.000000,Te,,
Te,site_name,2024-11-22 20:52:00.000000,Te,,
Te,site_name,2024-11-22 20:59:00.000000,Te,,
Te,site_name,2024-11-22 21:06:00.000000,Te,,
Te,site_name,2024-11-22 21:13:00.000000,Te,,
Te,site_name,2024-11-22 21:20:00.000000,Te,,
Te,site_name,2024-11-22 21:27:00.000000,Te,,
Te,site_name,2024-11-22 21:34:00.000000,Te,,
Te,site_name,2024-11-22 21:41:00.000000,Te,,
Te,site_name,2024-11-22 21:48:00.000000,Te,,
Te,site_name,2024-11-22 21:55:00.000000,Te,,
Te,site_name,2024-11-22 22:02:00.000000,Te,,
Te,site_name,2024-11-22 22:09:00.000000,Te,,
Te,site_name,2024-11-22 22:16:00.000000,Te,,
Te,site_name,2024-11-22 22:23:00.000000,Te,,
Te,site_name,2024-11-22 22:30:00.000000,Te,,
Te,site_name,2024-11-22 22:37:00.000000,Te,,
Te,site_name,2024-11-22 22:44:00.000000,Te,,
Te,site_name,2024-11-22 22:51:00.000000,Te,,
Te,site_name,2024-11-22 22:58:00.000000,Te,,
Te,site_name,2024-11-22 23:05:00.000000,Te,,
Te,site_name,2024-11-22 23:12:00.000000,Te,,
Te,site_name,2024-11-22 23:19:00.000000,Te,,
Te,site_name,2024-11-22 23:26:00.000000,Te,,
Te,site_name,2024-11-22 23:33:00.000000,Te,,
Te,site_name,2024-11-22 23:40:00.000000,Te,,
Te,site_name,2024-11-22 23:47:00.000000,Te,,
Te,site_name,2024-11-22 23:54:00.000000,Te,,
Te,site_name,2024-11-23 00:01:00.000000,Te,,
Te,site_name,2024-11-23 00:08:00.000000,Te,,
Te,site_name,2024-11-23 00:15:00.000000,Te,,
Te,site_name,2024-11-23 00:22:00.000000,Te,,
Te,site_name,2024-11-23 00:29:00.000000,Te,,
Te,site_name,2024-11-23 00:36:00.000000,Te,,
Te,site_name,2024-11-23 00:43:00.000000,Te,,
Te,site_name,2024-11-23 00:50:00.000000,Te,,
Te,site_name,2024-11-23 00:57:00.000000,Te,,
Te,site_name,2024-11-23 01:04:00.000000,Te,,
Te,site_name,2024-11-23 01:11:00.000000,Te,,
Te,site_name,2024-11-23 01:18:00.000000,Te,,
Te,site_name,2024-11-23 01:25:00.000000,Te,,
Te,site_name,2024-11-23 01:32:00.000000,Te,,
Te,site_name,2024-11-23 01:39:00.000000,Te,,
Te,site_name,2024-11-23 01:46:00.000000,Te,,
Te,site_name,2024-11-23 01:53:00.000000,Te,,
Te,site_name,2024-11-23 02:00:00.000000,Te,,
